Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Перебийніс,Нестор,Васильович,Чоловіча,1980-03-27,Агроном,хутір Алмазна,"набережна Трудова, буд. 9 кв. 971, Луцьк, 30534",023 761-27-50,kdanyliuk@example.org
Юрчишин,Ростислав,Демидович,Чоловіча,2000-11-06,Клавішник,хутір Великі Мости,"узвіз Туристська, буд. 77 кв. 8, Тульчин, 76715",007 312-50-65,iefremcherinko@example.net
Абрамчук,Пилип,Алевтинович,Чоловіча,1955-09-21,Громадський діяч,хутір Старокостянтинів,"проспект Дубова, буд. 151 кв. 40, Гайсин, 81640",330-70-65,nazar09@example.net
Іщенко,Ростислав,Варфоломійович,Чоловіча,1961-06-24,Провізор,місто Коростень,"парк Дністровська, буд. 217 кв. 2, Вижниця, 26810",088 683-42-43,nestorkorolenko@example.net
Дейнеко,Алевтин,Болеславович,Чоловіча,1962-11-06,Нотаріус,селище Тетіїв,"набережна Шахтинський, буд. 0 кв. 48, Зміїв, 81453",964 19 47,mazuranton@example.org
Коваленко,Феофан,Дмитрович,Чоловіча,1997-10-24,Клавішник,село Зимогір'я,"площа 9-та Суворовська, буд. 9, Білгород-Дністровський, 28607",049 435 82 65,amaliiafurs@example.org
Гайдабура,Соломія,Владиславівна,Жіноча,1975-03-16,Етнограф,селище Ворожба,"площа Академіка Сахарова, буд. 08 кв. 3, Ясинувата, 20103",+380 80 831-51-57,sheremetalukian@example.org
Гайворонський,Трохим,Яремович,Чоловіча,1951-12-26,Електротехнік,місто Керч,"шосе Шахтинський, буд. 83 кв. 24, Білопілля, 39126",+380 35 427-84-94,viterihnat@example.com
Чміль,Одарка,Данівна,Жіноча,2006-11-03,Пекар,селище Глиняни,"шосе Приморський, буд. 646 кв. 870, Гірник , 04653",093 026 34 35,teodorskorobohatko@example.net
Конопля,Оксенія,Адамівна,Жіноча,1969-06-26,Ді-джей,хутір Кадіївка,"площа В’ячеслава Чорновола, буд. 07 кв. 0, Барвінкове, 84589",+380 (81) 509-67-90,fprokopovych@example.net
Євдокименко,Нестор,Вікторович,Чоловіча,2002-12-28,Стропальник,село Київ,"проспект Артезіанська, буд. 02, Дрогобич, 57930",+380 (11) 790-31-61,uoberemko@example.org
Дубина,Володимира,Опанасівна,Жіноча,1965-05-14,Епідеміолог,село Бобровиця,"вулиця Юхима Геллера, буд. 0 кв. 52, Дніпро , 08012",055 407 01 54,everkhovynets@example.org
Охріменко,Прохір,Петрович,Чоловіча,1946-10-05,Електрослюсар,село Слов'янськ,"площа Зарічна, буд. 41 кв. 831, Нікополь, 25794",173 89 87,ihortytarenko@example.org
Оніщук,Богуслав,Зиновійович,Чоловіча,1956-06-20,Кухар,хутір Гайворон,"площа Ползунова 1-й, буд. 78, Кам'янка-Бузька, 80453",+380 77 438-15-06,iosyp06@example.net
Ейбоженко,Костянтин,Юстимович,Чоловіча,1994-10-27,Психолог,хутір Вишгород,"шосе Шампанський, буд. 294 кв. 0, Теребовля, 79627",072 561 24 87,khrystenkoalevtyn@example.net
Гук,Леонід,Степанович,Чоловіча,1985-08-16,Слідчий,хутір Підгайці,"вулиця 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 751 кв. 96, Благовіщенське, 53894",+380 27 985-99-68,gatamaniuk@example.com
Орлик,Станіслав,Костянтинович,Чоловіча,1964-08-26,Ботанік,селище Ірміно,"площа Троїцького Миколи, буд. 564, Покровськ, 11355",+380 52 649-68-79,viktoriiadanylenko@example.net
Дараган,Віталій,Прохорович,Чоловіча,1982-04-13,Швачка,хутір Сіверськ,"парк Багрицького, буд. 920, Валки , 21721",+380 36 058-16-61,ovsiienkosofiia@example.com
Андрієвич,Віталій,Азарович,Чоловіча,1950-05-07,Конструктор,хутір Вознесенськ,"шосе Левадна, буд. 66 кв. 816, Ялта, 92693",+380 93 789 40 73,ybevzenko@example.org
Гайворонський,Лесь,Валентинович,Чоловіча,1986-12-31,Драматург,хутір Здолбунів,"провулок Поперечний, буд. 538 кв. 72, Зоринськ, 63937",+380 12 351 22 59,yshelest@example.net
Єременко,Ігнат,Пилипович,Чоловіча,1953-07-07,Актор,хутір Кам'янка (Черкаська область),"набережна Катерининська, буд. 86 кв. 05, Моршин, 01344",052-26-91,karaspylyp@example.net
Якимчук,Амвросій,Єфремович,Чоловіча,1941-06-27,Паралегал,місто Люботин,"набережна Проїзний 1-й, буд. 3, Тростянець, 45882",+380 59 516-39-89,vasylhaida@example.com
Гриценко,Павло,Леонтійович,Чоловіча,1946-12-11,Випробувач,село Кобеляки,"парк Бабеля, буд. 7 кв. 8, Теплодар, 97470",+380 05 737-24-46,hievtushok@example.org
Гречаник,Кирило,Альбертович,Чоловіча,1942-03-05,Драматург,хутір Вільнянськ,"провулок Південна дорога, буд. 017, Славута, 79637",051-71-64,nievtushenko@example.org
Байдак,Розалія,Валентинівна,Жіноча,1939-03-12,Акушер,селище Апостолове,"парк Яружний, буд. 24 кв. 1, Шахтарськ, 21283",+380 25 601-02-53,zhuravelzakhar@example.com
Мамчур,Оксана,Макарівна,Жіноча,1967-03-07,Бібліотекар,хутір Монастирище,"проспект Псковська, буд. 099, Добромиль, 06163",+380 (84) 406-15-57,stanislav68@example.com
Токар,Богодар,Васильович,Чоловіча,1956-03-12,Клавішник,хутір Белз,"набережна Цебриківська, буд. 237, Одеса, 02536",093 754-14-07,xtymchuk@example.org
Червоненко,Єлисавета,Аврелійовна,Жіноча,1957-07-08,Антрополог,місто Комарно,"парк Кострова, буд. 4 кв. 3, Молочанськ, 97442",699-55-69,edyta31@example.org
Гайдай,Борис,Олександрович,Чоловіча,2003-04-11,Каскадер,хутір Сколе,"набережна Заводська 3-тя, буд. 296 кв. 83, Кам'янка-Бузька, 79891",371-14-81,bohuslava94@example.com
Ляшко,Леопольд,Максимович,Чоловіча,1942-09-18,Економіст,місто Генічеськ,"проспект Сєченова, буд. 3, Люботин, 38617",+380 39 321-88-68,bohuslava57@example.com
Сіробаба,Аліна,Вадимівна,Жіноча,1980-05-15,Фольклорист,село Зугрес,"вулиця Армійська, буд. 2, Гола Пристань, 46143",976-52-51,viktorievdokymenko@example.com
Рябець,Одарка,Леонтіївна,Жіноча,1982-05-21,Ді-джей,селище Бахмут,"проспект Новикова, буд. 65, Свалява, 92541",173-20-83,opetryk@example.net
Михайличенко,Яків,Альбертович,Чоловіча,1988-03-27,Скульптор,місто Селидове,"проспект Щіпний, буд. 185 кв. 961, Горішні Плавні, 37983",+380 87 959-46-65,volodymyramakarenko@example.com
Дубина,Хома,Вадимович,Чоловіча,1962-03-05,Архітектор,хутір Очаків,"парк Якутська, буд. 6, Нікополь, 58161",080 410 28 89,khoma19@example.net
Ільченко,Ліза,Зорянівна,Жіноча,1962-09-24,Мовознавець,селище Алупка,"шосе Набережна, буд. 873 кв. 1, Іллінці, 57681",047 154 87 73,klymentshvedchenko@example.net
Вдовенко,Ада,Венедиктівна,Жіноча,1967-07-15,Інженер,селище Білопілля,"провулок Троїцького Миколи, буд. 408, Залізне, 16991",+380 91 451-20-62,ohavrylets@example.com
Петрик,Устим,Бориславович,Чоловіча,1940-08-06,Медик,хутір Бобринець,"сквер Сурикова 2-й, буд. 087, Тетіїв, 08838",+380 38 587-58-37,ieva78@example.com
Вертипорох,Богодар,Русланович,Чоловіча,1976-03-25,Науковець,село Люботин,"проспект Бітумна, буд. 2, Хрустальний, 68861",+380 84 110-90-28,viacheslav02@example.com
Ґжицький,Віолетта,Аркадіївна,Жіноча,1957-11-17,Піаніст,село Липовець,"провулок Пересипський міст, буд. 9, Кремінна, 88277",+380 47 958-97-30,azar10@example.net
Алексійчук,Алла,Арсенівна,Жіноча,1946-01-02,Мистецтвознавець,селище Харків,"набережна Танфільєва, буд. 9, Ямпіль, 09703",082 507 61 61,tsymbaliaroslav@example.net
Чабан,Єфрем,Антонович,Чоловіча,1952-05-19,Ботанік,село Скадовськ,"площа Штурманська, буд. 126, Тростянець, 89832",+380 06 784-68-83,dashkevychihnat@example.com
Удовиченко,Георгій,Альбертович,Чоловіча,1981-03-14,Правник,село Старий Крим,"парк Кедровий, буд. 54 кв. 53, Хрестівка, 90498",+380 (97) 223-99-74,haievskyimilena@example.com
Тригуб,Пріска,Артемівна,Жіноча,1984-06-15,Музичний редактор,селище Курахове,"набережна Цегельнозаводська, буд. 81, Яготин, 07617",+380 79 040-18-27,les62@example.org
Гавришкевич,Лілія,Валентинівна,Жіноча,1986-11-06,Графік,селище Синельникове,"сквер Товарний, буд. 589, Городня, 06266",079 365 03 10,udzhun@example.com
Ємельяненко,Валерій,Алевтинович,Чоловіча,1993-04-15,Фрілансер,село Українка ,"вулиця Газовий, буд. 9, Андрушівка, 01129",+380 91 930 57 37,frants05@example.org
Захарченко,Болеслав,Тарасович,Чоловіча,1994-03-26,Електротехнік,село Радивилів,"площа Бессарабська, буд. 443 кв. 14, Роздільна, 84283",+380 71 671 43 80,huzenkoievhen@example.net
Андріїшин,Софія,Федорівна,Жіноча,1983-12-30,Музичний редактор,селище Борщів,"набережна Пересипська 4-та, буд. 12, Новомосковськ, 82978",+380 46 198-85-56,ielyseimedvedenko@example.org
Фартушняк,Роман,Йосипович,Чоловіча,1944-06-06,Юрист,село Подільськ,"проспект Ползунова 2-й, буд. 8 кв. 041, Деражня, 40456",+380 90 598 40 69,leontii99@example.org
Романчук,Олесь,Кирилович,Чоловіча,2008-01-18,Модель,село Гадяч,"провулок Хутірська, буд. 720, Городок, 27188",067 682-52-27,ndavymuka@example.net
Гаєвський,Олена,Амвросійовна,Жіноча,1966-04-03,Археолог,місто Хуст,"провулок Юннатів 2-й, буд. 24 кв. 8, Гайсин, 09092",202 53 98,yiaremko@example.com
Девдюк,Тарас,Антонович,Чоловіча,1959-06-27,Дипломат,місто Олевськ,"набережна Архітекторська, буд. 728 кв. 3, Бобринець, 82210",+380 92 981 38 77,tesliaviktor@example.com
Редько,Людмила,Георгіївна,Жіноча,1952-05-27,Мінералог,село Новоселиця,"проспект Віри Інбер, буд. 909 кв. 391, Сватове, 20381",+380 (63) 558-18-87,rostyslav48@example.com
Деряжний,Августин,Геннадійович,Чоловіча,1941-10-23,Біолог,село Мирноград,"площа Байкал тупик, буд. 8, Вознесенівка, 31544",+380 52 572-96-58,demyd82@example.org
Конопля,Кирило,Азарович,Чоловіча,1975-09-18,Секретар,селище Міусинськ,"провулок Деволанівська, буд. 431 кв. 63, Щолкіне, 43456",+380 03 402 42 20,zinchukviacheslav@example.com
Стець,Борис,Азарович,Чоловіча,1987-06-09,Диригент,село Іллінці,"площа Моторний 1-й, буд. 4 кв. 875, Новоукраїнка, 15629",629 21 54,kyrylovdovychenko@example.net
Алексійчук,Камілла,Омелянівна,Жіноча,1987-08-21,Кінокритик,село Роздільна,"шосе Амурський 3-й, буд. 217, Новомосковськ, 63986",007 837 87 74,feofanchaban@example.org
Піддубний,Леон,Несторович,Чоловіча,1991-08-20,Скульптор,місто Донецьк,"вулиця Пересипська 9-та, буд. 8, Брянка, 10243",073 367-35-86,iukhym21@example.com
Христенко,Роман,Мирославович,Чоловіча,1987-04-14,Фольклорист,селище Турка,"парк Леха Качинського, буд. 911 кв. 53, Нова Каховка, 25170",+380 58 253 41 03,cmishchenko@example.com
Верменич,Симон,Сергійович,Чоловіча,1941-04-09,Штукатур,місто Авдіївка,"набережна Панченка, буд. 54 кв. 49, Мукачево, 24398",+380 (74) 735-60-78,zorianhutsuliak@example.net
Ящук,Алла,Костянтинівна,Жіноча,1943-12-18,Патологоанатом,селище Барвінкове,"сквер Новоберегова, буд. 3, Тернівка , 66447",976-99-93,tymofii02@example.net
Матяш,Ярема,Геннадійович,Чоловіча,1967-04-25,Швачка,селище Яремче,"парк Локомотивний 2-й, буд. 0, Зборів, 07258",+380 26 673 83 84,maksym26@example.org
Штепа,Кирило,Пилипович,Чоловіча,1976-03-15,Стоматолог,село Добромиль,"шосе Магнітогорська, буд. 221, Євпаторія, 91006",080 327 74 01,stepankhrystych@example.net
Франчук,Хома,Сергійович,Чоловіча,1968-07-14,Кушнір,селище Полонне,"парк Вірського, буд. 502, Судова Вишня, 96685",809 95 65,arsenfesenko@example.net
Михалюк,Олена,Георгіївна,Жіноча,1993-05-21,Мінералог,селище Снігурівка,"проспект Перша, буд. 870 кв. 81, Вараш, 27148",091 208-45-64,zharkomarta@example.org
Рубець,Хома,Єлисейович,Чоловіча,1961-09-13,Графік,селище Чортків,"площа Пересипський узвіз, буд. 5, Попасна, 97694",+380 (74) 855-15-54,fedirkhrystych@example.com
Дробаха,Дарина,Данівна,Жіноча,2007-03-17,Мірошник,місто Бунге ,"шосе Набережна, буд. 014 кв. 00, Христинівка, 51372",+380 21 794-28-61,nehodavadym@example.net
Ґереґа,Назар,Августинович,Чоловіча,1952-10-10,Клавішник,місто Лебедин,"набережна Кісельова Ігоря, буд. 95, Підгайці, 88734",060 994 04 21,eduard37@example.org
Савенко,Данна,Демʼянівна,Жіноча,1983-08-06,Реставратор,селище Кадіївка,"узвіз 21-й км Старокиївської дороги, буд. 2 кв. 39, Золотоноша, 79345",+380 72 254 94 60,abandura@example.com
Петлюра,Наталія,Данівна,Жіноча,1955-07-01,Скульптор,хутір Барвінкове,"узвіз Цегельнозаводська, буд. 016 кв. 509, Ужгород, 22681",464-63-97,irena90@example.com
Цимбалюк,Юстим,Ігнатович,Чоловіча,1975-05-18,Шериф,місто Сорокине,"площа Калнишевського Петра, буд. 2 кв. 769, Шпола, 79839",+380 (21) 185-88-97,iandrusenko@example.net
Бгиденко,Мирослав,Ігорович,Чоловіча,1973-03-11,Лікар,село Зимогір'я,"набережна Пантелеймонівська, буд. 15 кв. 014, Шостка, 20877",733 68 53,vakulenkotaras@example.org
Фурс,Ірена,Миколаївна,Жіноча,1969-04-03,Публіцист,місто Кілія,"шосе 15-та Суворовська, буд. 4 кв. 5, Рогатин, 93294",053 268-25-36,stepan57@example.com
Андрійчук,Лесь,Зиновійович,Чоловіча,2006-09-10,Будник,село Сторожинець,"провулок Хаджибейська дорога, буд. 79, Новоселиця, 25469",473 52 94,ivysochan@example.com
Гайденко,Володимира,Костянтинівна,Жіноча,1941-05-28,Адвокат,село П'ятихатки,"площа Рибальський, буд. 6, Корюківка, 28900",+380 54 314 43 79,varvaraavdieienko@example.org
Ярема,Пилип,Захарович,Чоловіча,1968-09-06,Кінорежисер,хутір Новоукраїнка,"проспект Перша, буд. 6, Кривий Ріг, 49797",605-85-05,danyliukleon@example.com
Швайка,Прохір,Владиславович,Чоловіча,1941-12-16,Літературознавець,селище Южне,"площа Монгольська, буд. 577, Яворів, 70056",502 72 23,opanassyrotenko@example.net
Оніщук,Аркадій,Вікторович,Чоловіча,1986-07-12,Професор,хутір Новодністровськ,"набережна Гладкова, буд. 3, Токмак, 34863",+380 (06) 350-58-78,azarustenko@example.org
Абрамчук,Едуард,Орхипович,Чоловіча,1955-10-11,Гінеколог,село Соснівка ,"шосе Ольгіївський узвіз, буд. 51, Одеса, 45467",884-47-77,ostap98@example.com
Акименко,Ліза,Алевтинівна,Жіноча,1971-09-30,Редактор,хутір Турка,"узвіз Лідерсівський, буд. 100, Корюківка, 94135",882-86-22,dlavrenko@example.org
Фастенко,Феофан,Юстимович,Чоловіча,2001-08-06,Модельєр,село Кривий Ріг,"сквер Кільовий, буд. 62, Полтава, 85038",855-14-01,oksana18@example.net
Харченко,Мартин,Аркадійович,Чоловіча,1940-07-07,Дантист,місто Кременчук,"вулиця Костанді 2-й, буд. 02 кв. 43, Монастирище, 10419",038 804-74-11,kostiantyn84@example.net
Гунько,Мілена,Францівна,Жіноча,1968-10-04,Стропальник,хутір Хрестівка,"шосе Онілової, буд. 75, Новогродівка, 85420",+380 (51) 693-05-60,tsymbaliukkhoma@example.org
Прокопович,Сергій,Веніяминович,Чоловіча,1986-12-11,Клоун,селище Ніжин,"площа 14-та Лінія 6-й ст. Люстдорфської дороги, буд. 751, Буринь, 48532",018 926 18 47,yshtokalo@example.com
Гайворонський,Марина,Леонідівна,Жіноча,1989-04-26,Хімік,село Токмак,"сквер Лазурний 3-й, буд. 279 кв. 70, Міусинськ, 37266",+380 (92) 458-07-75,uudovenko@example.net
Дуплій,Людмила,Назарівна,Жіноча,1938-09-12,Письменник,місто Олешки,"проспект Демократична, буд. 24 кв. 693, Христинівка, 59059",533-50-99,irvanetsroman@example.net
Філіпенко,Едита,Лукʼянівна,Жіноча,1964-10-21,Провізор,хутір Середина-Буда,"вулиця Юрія Олеші, буд. 4 кв. 7, Радивилів, 38551",085 60 99,trokhym58@example.com
Шевченко,Леон,Павлович,Чоловіча,1958-07-13,Доцент,селище Снятин,"провулок Шолохова, буд. 756 кв. 463, Жовті Води, 84256",104-69-43,cdzhun@example.net
Сімашкевич,Лукʼян,Віталійович,Чоловіча,1956-07-05,Будник,село Волноваха,"узвіз Кар’єрна, буд. 4, Золочів, 73486",+380 71 530-47-35,vitalii22@example.org
Ґоляш,Ярослава,Устимівна,Жіноча,1961-04-28,Стиліст,село Кам'янка-Бузька,"парк Надіїі, буд. 76, Чигирин, 51282",+380 24 646-06-07,ostaptykhyi@example.com
Гайдай,Єфрем,Данилович,Чоловіча,1954-06-26,Фармацевт,місто Снігурівка,"шосе Вознесенський, буд. 99, Почаїв, 22080",+380 18 496-91-46,nbazylevych@example.net
Коваленко,Богданна,Павлівна,Жіноча,1955-07-18,Громадський діяч,місто Приморськ (Україна),"шосе Ширяївський, буд. 212, Сміла, 85994",+380 06 238 26 83,komarmakar@example.net
Єфименко,Зорян,Назарович,Чоловіча,1983-02-06,Паблік рилейшнз,село Берислав,"провулок Глазунова, буд. 0 кв. 40, Іловайськ, 38294",+380 47 237-22-74,ishcherban@example.com
Полтавець,Євген,Леонідович,Чоловіча,1971-02-02,Фармацевт,селище Нововолинськ,"шосе Донцова Дмитра, буд. 91, Каховка, 27192",316-32-36,drobiazkobohodar@example.com
Овчаренко,Леон,Пантелеймонович,Чоловіча,1990-08-14,Бібліограф,село Південне ,"набережна Учительський, буд. 0 кв. 3, Зміїв, 87932",+380 22 428-15-15,viacheslav30@example.net
Михалюк,Юхим,Орхипович,Чоловіча,1952-02-16,Редактор,хутір Галич,"проспект Дорбуду, буд. 682, Андрушівка, 56559",037 737-42-18,kyryloneporozhnii@example.com
Засуха,Олександр,Валентинович,Чоловіча,1985-06-16,Візажист,село Прип'ять ,"площа Льва Толстого, буд. 942 кв. 5, Першотравенськ, 49511",+380 (71) 531-98-29,valerii54@example.com
Олійник,Камілла,Леопольдівна,Жіноча,1988-12-11,Електромонтер,місто Синельникове,"провулок Миколаївський 1-й, буд. 172 кв. 53, Вовчанськ, 63829",+380 (93) 697-72-83,baklanihnat@example.net
Щербань,Стефан,Богданович,Чоловіча,1952-10-31,Модель,селище Молочанськ,"набережна Наявний 7-й, буд. 47, Кам'янець-Подільський, 02097",065 458 75 35,markovovk@example.com
Яценко,Марʼяна,Бориславівна,Жіноча,1983-07-27,Стропальник,хутір Кальміуське,"проспект Льва Толстого, буд. 5, Чоп, 55787",+380 35 893-54-21,vavdieienko@example.org
Ярема,Анастасія,Вʼячеславівна,Жіноча,1988-08-01,Мірошник,місто Снятин,"провулок Зелена балка, буд. 407 кв. 52, Новоград-Волинський, 92252",177 41 93,haivoronskyiroman@example.net
Лубенець,Стефан,Володимирович,Чоловіча,1942-02-27,Кінокритик,село Болград,"провулок Качалова, буд. 818, Ямпіль, 72463",+380 11 983-09-70,oles20@example.com
Примаченко,Нестор,Святославович,Чоловіча,1998-05-28,Бухгалтер,хутір Овруч,"набережна Чернігівський, буд. 0, Заліщики, 38504",+380 16 740 00 82,samoilenkoprokhir@example.com
Міщенко,Віолетта,Сергіївна,Жіноча,1964-02-02,Програміст,село Баранівка,"проспект Нерубайська, буд. 59 кв. 9, Зеленодольськ, 54609",+380 49 448 93 18,solomonpavlychenko@example.com
Габелко,Ярина,Францівна,Жіноча,1961-01-04,Медик,місто Мена ,"сквер Хаджибейський 2-й, буд. 59 кв. 4, Славутич, 07151",+380 31 915-73-59,maksym01@example.net
Абраменко,Леонтій,Назарович,Чоловіча,2008-02-05,Намотувальник,хутір Глухів,"сквер Чумацька, буд. 34 кв. 960, Карлівка, 69264",997 39 50,qavdieienko@example.com
Жайворон,Мілена,Зорянівна,Жіноча,2001-01-28,Інженер,місто Скалат,"проспект Поперечний, буд. 1, Козятин, 31857",+380 94 943 98 83,cchaika@example.com
Гайдай,Варвара,Спасівна,Жіноча,1967-05-02,Швачка,село Новояворівськ,"проспект Адміральський, буд. 33 кв. 1, Сіверськ, 08784",+380 (54) 269-60-18,kalchenkovitalii@example.org
Лесик,Іван,Миронович,Чоловіча,1995-12-04,Паралегал,село Косів,"сквер Олександра Невського 5-й, буд. 0, Теплодар, 13483",+380 70 212-35-78,zlatoslava02@example.org
Журавель,Азар,Зорянович,Чоловіча,1985-11-21,Журналіст,місто Кам'янка-Бузька,"узвіз Ялинкова, буд. 84, Ківерці, 43193",049 032-14-81,hordii70@example.org
Абраменко,Альбіна,Омелянівна,Жіноча,1987-01-12,Медик,село Корсунь-Шевченківський,"набережна Новгородська, буд. 584, Вовчанськ, 97895",405 76 40,ilienkoorysia@example.com
Козак,Аліна,Петрівна,Жіноча,1991-01-08,Математик,місто Сквира,"площа Дунаєвського 3-й, буд. 2, Острог, 73512",+380 85 177-69-94,ykorolenko@example.com
Скопенко,Азар,Богуславович,Чоловіча,1975-08-10,Маркетолог,селище Сватове,"провулок Сонячна, буд. 465 кв. 5, Тернопіль, 65455",064 102 42 99,odarkakorzh@example.org
Терещенко,Веніямин,Гордійович,Чоловіча,1966-07-19,Промисловець,хутір Щолкіне,"парк Тінистий, буд. 489 кв. 92, Корсунь-Шевченківський, 46604",439 92 01,kvanchenko@example.com
Рябошапка,Арсен,Геннадійович,Чоловіча,1945-02-21,Клоун,селище Родинське,"провулок Олександрівський, буд. 3, Ізюм, 21985",+380 62 848-24-78,wmakarenko@example.net
Ткаченко,Віолетта,Макарівна,Жіноча,1957-09-07,Намотувальник,селище Зугрес,"провулок Бахчева, буд. 574 кв. 26, Славутич, 63637",095 469-56-11,eakymenko@example.com
Базилевич,Святослава,Русланівна,Жіноча,1957-09-25,Вчитель,місто Глухів,"площа Львівський, буд. 5, Полтава, 83057",007 833-43-81,dantarasenko@example.net
Тичина,Назар,Глібович,Чоловіча,1972-10-08,Візажист,місто Вараш,"парк Палубна, буд. 12, Бурштин , 06397",548-92-91,btsybulenko@example.net
Запорожець,Ірена,Стефанівна,Жіноча,1948-05-02,Доцент,місто Зимогір'я,"провулок Щіпний, буд. 909 кв. 1, Дубровиця, 31361",+380 (99) 738-35-56,korsundan@example.net
Бабак,Соломія,Єфремівна,Жіноча,1976-01-11,Фармацевт,місто Збараж,"парк Естонський, буд. 166, Монастирище, 20446",+380 97 337 76 43,iesypenkoanzhela@example.org
Тичина,Соломія,Вʼячеславівна,Жіноча,1953-04-25,Менеджер,селище Глобине,"сквер Трудова, буд. 291, Малин, 03883",+380 54 788-83-32,iaroshstanislav@example.com
Слюсар,Оксана,Григоріївна,Жіноча,1991-08-31,Електрослюсар,хутір Біла Церква,"сквер Курганська, буд. 72 кв. 170, Знам'янка, 52832",806 55 62,batihiaroslav@example.com
Бандера,Соломія,Миронівна,Жіноча,1952-03-21,Мистецтвознавець,селище Світловодськ,"проспект Селекційна, буд. 620 кв. 0, Дубровиця, 96044",+380 56 740-60-26,drozdodarka@example.org
Лесик,Ярослав,Леонтійович,Чоловіча,1957-01-15,Модель,село Запоріжжя,"сквер Житомирський 3-й, буд. 13 кв. 180, Довжанськ, 88781",009 626 05 14,hlubenets@example.com
Абрамчук,Лесь,Юстимович,Чоловіча,1963-12-25,Гицель,село Бібрка,"проспект Полуничний, буд. 825 кв. 5, Покров, 84606",+380 26 922-52-12,rozaliia30@example.com
Рябошапка,Феофан,Стефанович,Чоловіча,1992-08-27,Журналіст,місто Новий Калинів,"площа Нафтовиків, буд. 391, Снятин, 31897",+380 31 079-93-39,babkoiryna@example.net
Андрейко,Онисим,Єлисейович,Чоловіча,1985-01-14,Палеонтолог,село Світловодськ,"проспект Морська, буд. 229 кв. 670, Бровари, 44350",+380 (78) 567-74-78,havrylo55@example.net
Устенко,Мілена,Варфоломіївна,Жіноча,1941-03-31,Історик,село Зугрес,"шосе Інглезі, буд. 38, Бахмач, 04801",+380 35 700-49-94,jabramchuk@example.com
Рябець,Марта,Олегівна,Жіноча,1949-01-27,Менеджер,село Зимогір'я,"проспект Морехідний, буд. 8, Зугрес, 54720",+380 27 904-24-01,anastasiia72@example.com
Вівчаренко,Сніжана,Пантелеймонівна,Жіноча,1999-02-25,Доцент,село Вовчанськ,"проспект Старицького, буд. 592, Ізюм, 47454",374-93-85,aizhakevych@example.net
Акуленко,Федір,Олександрович,Чоловіча,1971-05-08,Мінералог,хутір Пирятин,"сквер Лінія 53-тя, буд. 061 кв. 79, Старий Крим, 53917",+380 (15) 946-96-10,sverhun@example.net
Данько,Єлисавета,Миколаївна,Жіноча,1974-12-13,Фольклорист,місто Березне,"сквер Новоукраїнський, буд. 969, Алупка, 80527",+380 55 465-84-97,varvara04@example.net
Джус,Демид,Іванович,Чоловіча,2000-02-06,Локсмайстер,селище Судова Вишня,"набережна Басейна, буд. 6, Зборів, 68679",+380 67 969 43 83,valentynazarudnyi@example.net
Шиян,Альберт,Андрійович,Чоловіча,1941-10-11,Бухгалтер,місто Тетіїв,"узвіз Астрономічний, буд. 7 кв. 3, Андрушівка, 39010",+380 34 400 55 17,vladyslavbatih@example.com
Ірванець,Пармен,Ярославович,Чоловіча,1959-04-04,Золотар,селище Харків,"вулиця Більшовицький, буд. 8 кв. 137, Пирятин, 18945",352 76 45,ievaiemets@example.net
Піддубний,Йосип,Єлисейович,Чоловіча,1960-11-22,Мовознавець,хутір Бердичів,"набережна Аеропортівський 6-й, буд. 4 кв. 56, Березне, 33749",+380 94 022 28 36,chernenkohennadii@example.net
Андрейко,Оксенія,Юхимівна,Жіноча,1948-04-12,Круп'є,село Дрогобич,"сквер Локомотивна, буд. 3 кв. 51, Іллінці, 55548",023 137-47-51,ihor67@example.org
Дзиндра,Богданна,Охрімівна,Жіноча,1943-07-07,Нотаріус,хутір Бобровиця,"площа Новоберегова, буд. 308, Тернопіль, 36375",094 933 84 96,milena29@example.org
Ящук,Леонтій,Юстимович,Чоловіча,1960-05-12,Піаніст,хутір Узин,"площа Пастера, буд. 7 кв. 98, Генічеськ, 77548",549-20-69,dandrusenko@example.net
Приймак,Єфрем,Георгійович,Чоловіча,1969-06-25,Палеонтолог,хутір Козятин,"парк Місячна, буд. 4 кв. 091, Копичинці, 17062",033 367-44-52,masokhavitalii@example.com
Супруненко,Стефан,Єлисейович,Чоловіча,1975-07-05,Антрополог,місто Ясинувата,"проспект Бібліотечна, буд. 6 кв. 6, Лиман , 63071",761-03-02,mariia71@example.org
Верес,Ольга,Артемівна,Жіноча,2007-05-10,Зоолог,село Бережани,"парк Четверта, буд. 048, Сміла, 34657",+380 48 035-04-57,boryschupryna@example.org
Ватаманюк,Зорян,Аркадійович,Чоловіча,1992-08-07,Астронавт,хутір Південне ,"набережна Будівельний, буд. 6, Вугледар, 53697",+380 61 369-90-41,sbaidak@example.com
Лазаренко,Стефан,Остапович,Чоловіча,1948-04-06,Продюсер,місто Барвінкове,"парк Кузнечна, буд. 0 кв. 139, Чернігів, 13018",+380 (94) 637-37-21,venedykt43@example.org
Шеремет,Людмила,Гаврилівна,Жіноча,1982-07-23,Пекар,хутір Керч,"площа Балтський 1-й, буд. 11 кв. 682, Токмак, 12389",062 716-11-41,ievhen04@example.org
